id_venda,data_venda,loja,categoria_produto,produto,quantidade,preco_unitario,valor_total,vendedor,forma_pagamento,cidade,uf
HAV000001,2025-08-01,Havan Blumenau,Utilidades Domésticas,Chaleira Inox,2,48.22,96.44,Fernanda Lima,Cartão de crédito,Blumenau,SC
HAV000002,2024-08-20,Havan Londrina,Utilidades Domésticas,Jogo de Copos,2,193.53,387.06,Carlos Souza,Dinheiro,Londrina,PR
HAV000003,2025-10-04,Havan Curitiba,Utilidades Domésticas,Aparelho de Jantar,2,168.39,336.78,Ana Silva,PIX,Curitiba,PR
HAV000004,2024-01-15,Havan Balneário Camboriú,Eletrodomésticos,Cafeteira Nespresso,1,2910.86,2910.86,Mariana Costa,PIX,Balneário Camboriú,SC
HAV000005,2025-04-30,Havan Curitiba,Vestuário,Tênis Nike,2,248.61,497.22,João Mendes,Dinheiro,Curitiba,SC
HAV000006,2024-02-01,Havan Brusque,Brinquedos,Quebra-cabeça 1000 peças,2,275.76,551.52,Patrícia Santos,PIX,Brusque,SC
HAV000007,2024-05-09,Havan Brusque,Informática,"Monitor 24""",3,2660.58,7981.74,Ana Silva,Cartão de crédito,Brusque,SC
HAV000008,2024-01-10,Havan Florianópolis,Utilidades Domésticas,Aparelho de Jantar,4,156.23,624.92,João Mendes,Cartão de débito,Florianópolis,SC
HAV000009,2024-04-07,Havan Londrina,Informática,Impressora HP,1,2882.47,2882.47,Patrícia Santos,Cartão de crédito,Londrina,PR
HAV000010,2024-06-14,Havan Joinville,Brinquedos,Quebra-cabeça 1000 peças,3,308.73,926.19,Fernanda Lima,PIX,Joinville,SC
HAV000011,2025-09-19,Havan Balneário Camboriú,"Cama, Mesa e Banho",Travesseiro Nasa,1,406.19,406.19,Carlos Souza,Cartão de crédito,Balneário Camboriú,SC
HAV000012,2024-03-31,Havan Blumenau,"Cama, Mesa e Banho",Jogo de Lençol Queen,1,287.75,287.75,João Mendes,Cartão de crédito,Blumenau,SC
HAV000013,2025-05-30,Havan Blumenau,Eletrônicos,Tablet Samsung,1,930.34,930.34,Mariana Costa,Cartão de crédito,Blumenau,SC
HAV000014,2025-01-16,Havan Londrina,Eletrodomésticos,Geladeira Brastemp,1,4531.82,4531.82,Patrícia Santos,Cartão de crédito,Londrina,PR
HAV000015,2024-11-13,Havan Joinville,Informática,"Monitor 24""",3,2235.53,6706.59,Fernanda Lima,Cartão de crédito,Joinville,SC
HAV000016,2025-08-21,Havan Balneário Camboriú,Móveis,Cadeira Gamer,1,3589.17,3589.17,João Mendes,PIX,Balneário Camboriú,SC
HAV000017,2024-02-27,Havan Londrina,Eletrodomésticos,Aspirador Mondial,1,283.92,283.92,Rodrigo Alves,Cartão de crédito,Londrina,SC
